FIPS,STABRV,STATE,WPRFS,TOTAL,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,P1,P2,P3,GRADE,P1g,P2g,P3g
46,SD,South Dakota,16.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,4,F,F,F,C
47,TN,Tennessee,25.5,12.5,0,3,0,0,3,3,0,0,0,0,0,0,0.5,0,2,0,1,0,9,0.5,3,C-,C,F,D
48,TX,Texas,23.3,8,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,D,D,F,D
49,UT,Utah,15.1,25,0,3,0,3,3,3,1,4,4,0,0,0,0,1,2,0,1,0,13,8,4,B-,B,C,C
50,VT,Vermont,14.3,15.5,3,3,0,0,0,1,1,0,0,0,0,0.5,0,1,2,0,3,1,8,0.5,7,C,C,F,B
51,VA,Virginia,11.0,13.5,0,3,0,1,0,3,1,0,0,0,0,0,0.5,1,2,0,1,1,8,0.5,5,C-,C,F,C
53,WA,Washington,16.0,26.0,0,3,0,1,0,3,1,4,4,2,2,0.5,0.5,1,2,0,1,1,8,13.0,5,B-,C,B,C
54,WV,West Virginia,23.5,12.5,0,3,0,0,0,0,0,0,0,0,0,0,0.5,1,2,0,3,3,3,0.5,9,C-,D,F,B
55,WI,Wisconsin,13.6,16,0,0,0,0,0,2,0,4,4,2,2,0,0,0,0,0,1,1,2,12,2,C,F,B,D
56,WY,Wyoming,19.6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,D-,D,F,D
